Scopus SourceID,Quartile,Top 10% (CiteScore Percentile)
23063,Quartile 1,Top 10%
23063,Quartile 1,Top 10%
27567,Quartile 1,Top 10%
12878,Quartile 1,Top 10%
12878,Quartile 1,Top 10%
12878,Quartile 1,Top 10%
25368,Quartile 1,Top 10%
29431,Quartile 1,Top 10%
25454,Quartile 1,Top 10%
25454,Quartile 1,Top 10%
25454,Quartile 1,Top 10%
25454,Quartile 1,Top 10%
18017,Quartile 1,Top 10%
18017,Quartile 1,Top 10%
22266,Quartile 1,Top 10%
22266,Quartile 1,Top 10%
22266,Quartile 1,Top 10%
29213,Quartile 1,Top 10%
29213,Quartile 1,Top 10%
17552,Quartile 1,Top 10%
17552,Quartile 1,Top 10%
17552,Quartile 1,Top 10%
20206,Quartile 1,Top 10%
20206,Quartile 1,Top 10%
20206,Quartile 1,Top 10%
28371,Quartile 1,Top 10%
13502,Quartile 1,Top 10%
13502,Quartile 1,Top 10%
13502,Quartile 1,Top 10%
13502,Quartile 1,Top 10%
13502,Quartile 1,Top 10%
14855,Quartile 1,Top 10%
14855,Quartile 1,Top 10%
24006,Quartile 1,Top 10%
25760,Quartile 1,Top 10%
19136,Quartile 1,Top 10%
19136,Quartile 1,Top 10%
19136,Quartile 1,Top 10%
19136,Quartile 1,Top 10%
26055,Quartile 1,Top 10%
22951,Quartile 1,Top 10%
22951,Quartile 1,Top 10%
22951,Quartile 1,Top 10%
18000,Quartile 1,Top 10%
18000,Quartile 1,Top 10%
18000,Quartile 1,Top 10%
12523,Quartile 1,Top 10%
12523,Quartile 1,Top 10%
12523,Quartile 1,Top 10%
13467,Quartile 1,Top 10%
29150,Quartile 1,Top 10%
19700200838,Quartile 1,Top 10%
16590,Quartile 1,Top 10%
14621,Quartile 1,Top 10%
64345,Quartile 1,Top 10%
11700154648,Quartile 1,Top 10%
11700154648,Quartile 1,Top 10%
11700154648,Quartile 1,Top 10%
11700154648,Quartile 1,Top 10%
11700154648,Quartile 1,Top 10%
24046,Quartile 1,Top 10%
21359,Quartile 1,Top 10%
21359,Quartile 1,Top 10%
28690,Quartile 1,Top 10%
28690,Quartile 1,Top 10%
13903,Quartile 1,Top 10%
13903,Quartile 1,Top 10%
13903,Quartile 1,Top 10%
13903,Quartile 1,Top 10%
13903,Quartile 1,Top 10%
15991,Quartile 1,Top 10%
20151,Quartile 1,Top 10%
20151,Quartile 1,Top 10%
25491,Quartile 1,Top 10%
25491,Quartile 1,Top 10%
25491,Quartile 1,Top 10%
15131,Quartile 1,Top 10%
15131,Quartile 1,Top 10%
15131,Quartile 1,Top 10%
15131,Quartile 1,Top 10%
110092,Quartile 1,Top 10%
110092,Quartile 1,Top 10%
110092,Quartile 1,Top 10%
110092,Quartile 1,
19169,Quartile 1,Top 10%
19169,Quartile 1,Top 10%
19169,Quartile 1,Top 10%
19169,Quartile 1,Top 10%
17500155020,Quartile 1,Top 10%
17500155020,Quartile 1,Top 10%
27540,Quartile 1,Top 10%
27540,Quartile 1,Top 10%
27540,Quartile 1,Top 10%
27540,Quartile 1,Top 10%
13900,Quartile 1,Top 10%
13900,Quartile 1,Top 10%
21267,Quartile 1,Top 10%
21267,Quartile 1,Top 10%
12213,Quartile 1,Top 10%
20681,Quartile 1,Top 10%
20681,Quartile 1,Top 10%
16339,Quartile 1,Top 10%
16339,Quartile 1,Top 10%
16339,Quartile 1,Top 10%
22580,Quartile 1,Top 10%
28330,Quartile 1,Top 10%
26618,Quartile 1,Top 10%
26618,Quartile 1,Top 10%
16612,Quartile 1,Top 10%
16612,Quartile 1,Top 10%
16612,Quartile 1,Top 10%
5700191213,Quartile 1,Top 10%
5700191213,Quartile 1,Top 10%
5700191213,Quartile 1,Top 10%
40944,Quartile 1,Top 10%
40944,Quartile 1,Top 10%
40944,Quartile 1,Top 10%
4000149101,Quartile 1,Top 10%
4000149101,Quartile 1,Top 10%
4000149101,Quartile 1,Top 10%
4000149101,Quartile 1,Top 10%
4000149101,Quartile 1,Top 10%
4000149101,Quartile 1,Top 10%
23183,Quartile 1,Top 10%
11400153331,Quartile 1,Top 10%
11400153331,Quartile 1,Top 10%
19662,Quartile 1,Top 10%
19662,Quartile 1,Top 10%
19600166310,Quartile 1,Top 10%
20191,Quartile 1,Top 10%
20191,Quartile 1,Top 10%
20191,Quartile 1,Top 10%
20191,Quartile 1,Top 10%
5100155080,Quartile 1,Top 10%
5100155080,Quartile 1,Top 10%
5100155080,Quartile 1,Top 10%
22488,Quartile 1,Top 10%
22488,Quartile 1,Top 10%
22488,Quartile 1,Top 10%
26884,Quartile 1,Top 10%
26884,Quartile 1,Top 10%
26884,Quartile 1,Top 10%
26884,Quartile 1,
6200180161,Quartile 1,Top 10%
6200180161,Quartile 1,Top 10%
6200180161,Quartile 1,Top 10%
6200180161,Quartile 1,Top 10%
30039,Quartile 1,Top 10%
30039,Quartile 1,Top 10%
28475,Quartile 1,Top 10%
28475,Quartile 1,Top 10%
28475,Quartile 1,Top 10%
28475,Quartile 1,Top 10%
28475,Quartile 1,
21268,Quartile 1,Top 10%
21268,Quartile 1,
30867,Quartile 1,Top 10%
30867,Quartile 1,Top 10%
30867,Quartile 1,Top 10%
26430,Quartile 1,Top 10%
26430,Quartile 1,Top 10%
26430,Quartile 1,Top 10%
15439,Quartile 1,Top 10%
15439,Quartile 1,Top 10%
15439,Quartile 1,Top 10%
5800173382,Quartile 1,Top 10%
5800173382,Quartile 1,Top 10%
14531,Quartile 1,Top 10%
14531,Quartile 1,
24069,Quartile 1,Top 10%
24069,Quartile 1,Top 10%
16615,Quartile 1,Top 10%
16615,Quartile 1,Top 10%
16615,Quartile 1,Top 10%
12996,Quartile 1,Top 10%
12996,Quartile 1,Top 10%
12996,Quartile 1,Top 10%
12996,Quartile 1,Top 10%
26159,Quartile 1,Top 10%
26159,Quartile 1,Top 10%
26159,Quartile 1,Top 10%
26159,Quartile 1,Top 10%
26159,Quartile 1,Top 10%
20689,Quartile 1,Top 10%
20689,Quartile 1,
13602,Quartile 1,Top 10%
13602,Quartile 1,Top 10%
23010,Quartile 1,Top 10%
14160,Quartile 1,Top 10%
17495,Quartile 1,Top 10%
17495,Quartile 1,Top 10%
18391,Quartile 1,Top 10%
18391,Quartile 1,
22471,Quartile 1,Top 10%
18902,Quartile 1,Top 10%
18902,Quartile 1,Top 10%
28707,Quartile 1,Top 10%
28707,Quartile 1,Top 10%
28707,Quartile 1,Top 10%
16101,Quartile 1,Top 10%
16101,Quartile 1,Top 10%
16101,Quartile 1,Top 10%
16101,Quartile 1,Top 10%
16101,Quartile 1,Top 10%
12211,Quartile 1,Top 10%
12211,Quartile 1,Top 10%
26947,Quartile 1,Top 10%
26947,Quartile 1,
29990,Quartile 1,Top 10%
29990,Quartile 1,Top 10%
21928,Quartile 1,Top 10%
21928,Quartile 1,Top 10%
21928,Quartile 1,Top 10%
21928,Quartile 1,Top 10%
22466,Quartile 1,Top 10%
12455,Quartile 1,Top 10%
12455,Quartile 1,Top 10%
12455,Quartile 1,Top 10%
12455,Quartile 1,Top 10%
12455,Quartile 1,
85291,Quartile 1,Top 10%
16343,Quartile 1,Top 10%
16343,Quartile 1,Top 10%
16343,Quartile 1,
19683,Quartile 1,Top 10%
19683,Quartile 1,Top 10%
20624,Quartile 1,Top 10%
20624,Quartile 1,Top 10%
28800,Quartile 1,Top 10%
11700154702,Quartile 1,Top 10%
11700154702,Quartile 1,Top 10%
11700154702,Quartile 1,Top 10%
11700154702,Quartile 1,Top 10%
11700154702,Quartile 1,Top 10%
19700173023,Quartile 1,Top 10%
19700173023,Quartile 1,Top 10%
21817,Quartile 1,Top 10%
21817,Quartile 1,Top 10%
26927,Quartile 1,Top 10%
12459,Quartile 1,Top 10%
12459,Quartile 1,Top 10%
12459,Quartile 1,Top 10%
17700156605,Quartile 1,Top 10%
12216,Quartile 1,Top 10%
12216,Quartile 1,Top 10%
12216,Quartile 1,Top 10%
12216,Quartile 1,
21196,Quartile 1,Top 10%
21196,Quartile 1,Top 10%
15388,Quartile 1,Top 10%
16976,Quartile 1,Top 10%
20373,Quartile 1,Top 10%
20373,Quartile 1,Top 10%
17500,Quartile 1,Top 10%
17500,Quartile 1,Top 10%
17500,Quartile 1,Top 10%
20635,Quartile 1,Top 10%
20635,Quartile 1,Top 10%
19700175115,Quartile 1,Top 10%
19700175115,Quartile 1,Top 10%
19700175115,Quartile 1,Top 10%
19700175115,Quartile 1,Top 10%
20969,Quartile 1,Top 10%
20969,Quartile 1,Top 10%
20969,Quartile 1,Top 10%
20969,Quartile 1,Top 10%
28111,Quartile 1,Top 10%
22781,Quartile 1,Top 10%
22781,Quartile 1,Top 10%
22781,Quartile 1,Top 10%
22781,Quartile 1,Top 10%
22781,Quartile 1,Top 10%
22781,Quartile 1,Top 10%
22781,Quartile 1,
17600155041,Quartile 1,Top 10%
7100153107,Quartile 1,Top 10%
7100153107,Quartile 1,
19600166212,Quartile 1,Top 10%
19837,Quartile 1,Top 10%
19837,Quartile 1,Top 10%
19837,Quartile 1,Top 10%
19837,Quartile 1,Top 10%
25472,Quartile 1,Top 10%
25472,Quartile 1,Top 10%
19602,Quartile 1,Top 10%
19602,Quartile 1,Top 10%
25297,Quartile 1,Top 10%
14150,Quartile 1,
14150,Quartile 1,
24085,Quartile 1,Top 10%
24085,Quartile 1,Top 10%
24085,Quartile 1,Top 10%
24085,Quartile 1,Top 10%
24085,Quartile 1,Top 10%
19040,Quartile 1,Top 10%
19040,Quartile 1,
7000153204,Quartile 1,Top 10%
7000153204,Quartile 1,Top 10%
23915,Quartile 1,Top 10%
29236,Quartile 1,Top 10%
15437,Quartile 1,Top 10%
15437,Quartile 1,Top 10%
15437,Quartile 1,Top 10%
15437,Quartile 1,Top 10%
19900192103,Quartile 1,Top 10%
19900192103,Quartile 1,Top 10%
13363,Quartile 1,Top 10%
13363,Quartile 1,Top 10%
18556,Quartile 1,
5100155074,Quartile 1,Top 10%
5100155074,Quartile 1,Top 10%
24972,Quartile 1,Top 10%
26396,Quartile 1,Top 10%
26396,Quartile 1,Top 10%
26396,Quartile 1,Top 10%
25131,Quartile 1,Top 10%
25131,Quartile 1,Top 10%
25131,Quartile 1,Top 10%
22440,Quartile 1,Top 10%
22440,Quartile 1,
29919,Quartile 1,Top 10%
29919,Quartile 1,Top 10%
29919,Quartile 1,Top 10%
22669,Quartile 1,Top 10%
22669,Quartile 1,
24738,Quartile 1,Top 10%
24738,Quartile 1,Top 10%
24738,Quartile 1,Top 10%
24738,Quartile 1,
18945,Quartile 1,Top 10%
18945,Quartile 1,Top 10%
25780,Quartile 1,Top 10%
25780,Quartile 1,Top 10%
25780,Quartile 1,Top 10%
25780,Quartile 1,
28366,Quartile 1,Top 10%
24242,Quartile 1,Top 10%
